"(Benchmark_method, commit)",Move Class,Move Source Folder,Extract Variable,Extract Class,Move Method,Move Attribute,Change Attribute Type,Change Parameter Type,Inline Method,Change Variable Type,Inline Variable,Replace Variable With Attribute,Extract And Move Method,Change Return Type,Extract Superclass,Pull Up Method,Extract Method,Pull Up Attribute,Parameterize Variable,Split Variable,Split Parameter,sum,delta
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,b84e8268be489a4cb5282d6465cb7030a2e379ae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,b84e8268be489a4cb5282d6465cb7030a2e379ae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,b84e8268be489a4cb5282d6465cb7030a2e379ae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,b84e8268be489a4cb5282d6465cb7030a2e379ae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,b84e8268be489a4cb5282d6465cb7030a2e379ae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,682f66cbd0e8dc6ce14222f8c225267dde9826eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,682f66cbd0e8dc6ce14222f8c225267dde9826eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,682f66cbd0e8dc6ce14222f8c225267dde9826eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,682f66cbd0e8dc6ce14222f8c225267dde9826eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,682f66cbd0e8dc6ce14222f8c225267dde9826eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,682f66cbd0e8dc6ce14222f8c225267dde9826eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,682f66cbd0e8dc6ce14222f8c225267dde9826eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,959b4e799721796668f0e185ea3eb9a67ac442c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,959b4e799721796668f0e185ea3eb9a67ac442c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,959b4e799721796668f0e185ea3eb9a67ac442c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,959b4e799721796668f0e185ea3eb9a67ac442c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,959b4e799721796668f0e185ea3eb9a67ac442c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,959b4e799721796668f0e185ea3eb9a67ac442c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,959b4e799721796668f0e185ea3eb9a67ac442c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,9fe5414151f5ea9bd7db7a3b4541a239cb47c4b7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,9fe5414151f5ea9bd7db7a3b4541a239cb47c4b7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,9fe5414151f5ea9bd7db7a3b4541a239cb47c4b7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,9fe5414151f5ea9bd7db7a3b4541a239cb47c4b7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,9fe5414151f5ea9bd7db7a3b4541a239cb47c4b7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,9fe5414151f5ea9bd7db7a3b4541a239cb47c4b7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,9fe5414151f5ea9bd7db7a3b4541a239cb47c4b7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,104f8dd84e848db1a80d4892d1f9cb73a9161914)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,104f8dd84e848db1a80d4892d1f9cb73a9161914)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,104f8dd84e848db1a80d4892d1f9cb73a9161914)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,104f8dd84e848db1a80d4892d1f9cb73a9161914)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,104f8dd84e848db1a80d4892d1f9cb73a9161914)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,104f8dd84e848db1a80d4892d1f9cb73a9161914)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,104f8dd84e848db1a80d4892d1f9cb73a9161914)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,d3b2d63f9e04769b84f7992e3857218d90a9d8a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,d3b2d63f9e04769b84f7992e3857218d90a9d8a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,d3b2d63f9e04769b84f7992e3857218d90a9d8a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,d3b2d63f9e04769b84f7992e3857218d90a9d8a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,d3b2d63f9e04769b84f7992e3857218d90a9d8a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,d3b2d63f9e04769b84f7992e3857218d90a9d8a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,d3b2d63f9e04769b84f7992e3857218d90a9d8a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,8dcfed4836d26c57ef78be68214d186e9ca78b84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,8dcfed4836d26c57ef78be68214d186e9ca78b84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,8dcfed4836d26c57ef78be68214d186e9ca78b84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,8dcfed4836d26c57ef78be68214d186e9ca78b84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,8dcfed4836d26c57ef78be68214d186e9ca78b84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,8dcfed4836d26c57ef78be68214d186e9ca78b84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,8dcfed4836d26c57ef78be68214d186e9ca78b84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,a68bea07e0b1d1c51c95a38cec7844196dad15de)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,a68bea07e0b1d1c51c95a38cec7844196dad15de)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,a68bea07e0b1d1c51c95a38cec7844196dad15de)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,a68bea07e0b1d1c51c95a38cec7844196dad15de)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,a68bea07e0b1d1c51c95a38cec7844196dad15de)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,a68bea07e0b1d1c51c95a38cec7844196dad15de)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,a68bea07e0b1d1c51c95a38cec7844196dad15de)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,afd16f966fda6831f337291388bb86b85c5ba472)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,afd16f966fda6831f337291388bb86b85c5ba472)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,afd16f966fda6831f337291388bb86b85c5ba472)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,afd16f966fda6831f337291388bb86b85c5ba472)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,afd16f966fda6831f337291388bb86b85c5ba472)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,afd16f966fda6831f337291388bb86b85c5ba472)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,afd16f966fda6831f337291388bb86b85c5ba472)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,2645eb0dd23d78c21c2f0b6eb6b4b5415f9a8a00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,2645eb0dd23d78c21c2f0b6eb6b4b5415f9a8a00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,2645eb0dd23d78c21c2f0b6eb6b4b5415f9a8a00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,2645eb0dd23d78c21c2f0b6eb6b4b5415f9a8a00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,2645eb0dd23d78c21c2f0b6eb6b4b5415f9a8a00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,2645eb0dd23d78c21c2f0b6eb6b4b5415f9a8a00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,2645eb0dd23d78c21c2f0b6eb6b4b5415f9a8a00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,470c19b1d7a0107017538d4ecea8e4ae9d21eec1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,470c19b1d7a0107017538d4ecea8e4ae9d21eec1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,470c19b1d7a0107017538d4ecea8e4ae9d21eec1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,470c19b1d7a0107017538d4ecea8e4ae9d21eec1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,470c19b1d7a0107017538d4ecea8e4ae9d21eec1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,470c19b1d7a0107017538d4ecea8e4ae9d21eec1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,470c19b1d7a0107017538d4ecea8e4ae9d21eec1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,14e8f181a4b584461cd7609bf916ba9123ccb7c8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,14e8f181a4b584461cd7609bf916ba9123ccb7c8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,14e8f181a4b584461cd7609bf916ba9123ccb7c8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,14e8f181a4b584461cd7609bf916ba9123ccb7c8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,14e8f181a4b584461cd7609bf916ba9123ccb7c8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,14e8f181a4b584461cd7609bf916ba9123ccb7c8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,14e8f181a4b584461cd7609bf916ba9123ccb7c8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,46c086352bd9495b666bf7995da338e6bb7ba3e0)",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,46c086352bd9495b666bf7995da338e6bb7ba3e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,46c086352bd9495b666bf7995da338e6bb7ba3e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,46c086352bd9495b666bf7995da338e6bb7ba3e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,46c086352bd9495b666bf7995da338e6bb7ba3e0)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,46c086352bd9495b666bf7995da338e6bb7ba3e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,46c086352bd9495b666bf7995da338e6bb7ba3e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,c9260df8c31285795e71217c3074bf6ff74288a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,c9260df8c31285795e71217c3074bf6ff74288a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,c9260df8c31285795e71217c3074bf6ff74288a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,c9260df8c31285795e71217c3074bf6ff74288a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,c9260df8c31285795e71217c3074bf6ff74288a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,c9260df8c31285795e71217c3074bf6ff74288a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,c9260df8c31285795e71217c3074bf6ff74288a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,65b1770f5852430cba3b07107e70f4539f1c97a5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,65b1770f5852430cba3b07107e70f4539f1c97a5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,65b1770f5852430cba3b07107e70f4539f1c97a5)",0,0,0,1,0,0,0,3,0,0,0,0,0,3,2,6,0,0,0,0,0,15,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,65b1770f5852430cba3b07107e70f4539f1c97a5)",0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,5,0,0,0,0,0,16,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,65b1770f5852430cba3b07107e70f4539f1c97a5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,65b1770f5852430cba3b07107e70f4539f1c97a5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,65b1770f5852430cba3b07107e70f4539f1c97a5)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,4,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,b38e6e885b7d793ee99018dc229be2963dd9f2fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,b38e6e885b7d793ee99018dc229be2963dd9f2fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,b38e6e885b7d793ee99018dc229be2963dd9f2fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,b38e6e885b7d793ee99018dc229be2963dd9f2fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,b38e6e885b7d793ee99018dc229be2963dd9f2fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,b38e6e885b7d793ee99018dc229be2963dd9f2fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,b38e6e885b7d793ee99018dc229be2963dd9f2fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,0c341a35bfd3710d88ae97a66423bacc1c76082c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,0c341a35bfd3710d88ae97a66423bacc1c76082c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,0c341a35bfd3710d88ae97a66423bacc1c76082c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,0c341a35bfd3710d88ae97a66423bacc1c76082c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,0c341a35bfd3710d88ae97a66423bacc1c76082c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,0c341a35bfd3710d88ae97a66423bacc1c76082c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,0c341a35bfd3710d88ae97a66423bacc1c76082c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
