"(Benchmark_method, commit)",Extract Variable,Extract Class,Move Method,Extract And Move Method,Extract Superclass,Move Class,Change Attribute Type,Change Parameter Type,Change Variable Type,Change Return Type,Replace Variable With Attribute,Merge Parameter,Pull Up Attribute,Pull Up Method,Move Source Folder,Move Attribute,Extract Method,Push Down Method,sum,delta
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,037d3317ab3c69d4379fca06eba898a2a088faf6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,037d3317ab3c69d4379fca06eba898a2a088faf6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,9c673238371b83c9c6c75476793a0b83823293d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,73f014ad5e300bb04ac9a0723267e9f51ffd212e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,2b9a09e622a2f72102610f92a029ac7856ed01e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,0015347007087e9ef493e93d73ce76744833d1a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
