"(Benchmark_method, commit)",Move Class,Add Parameter,Change Variable Type,Add Method Annotation,Change Return Type,Change Attribute Type,Change Parameter Type,Extract Method,Extract Variable,Move Source Folder,Modify Method Annotation,Extract And Move Method,Inline Method,Move Attribute,Remove Parameter,Inline Variable,Extract Class,Add Attribute Annotation,Parameterize Variable,Remove Method Annotation,Pull Up Method,Move And Inline Method,Add Class Annotation,Move Method,Push Down Method,Replace Variable With Attribute,Modify Class Annotation,Extract Superclass,Pull Up Attribute,Change Package,Remove Class Annotation,Remove Attribute Annotation,Merge Parameter,Extract Interface,Extract Subclass,Push Down Attribute,Extract Attribute,Merge Variable,Split Attribute,Merge Attribute,Reorder Parameter,Remove Parameter Annotation,sum,delta
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,f4246df6e436343b3c08080452be92542ad39859)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,b5921d2600c8411a803ba44967fef5ec4c94c9d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,b5921d2600c8411a803ba44967fef5ec4c94c9d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,b5921d2600c8411a803ba44967fef5ec4c94c9d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,b5921d2600c8411a803ba44967fef5ec4c94c9d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,bcae276234b37a66322336cca817d8bdcb2e00a2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,bcae276234b37a66322336cca817d8bdcb2e00a2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,bcae276234b37a66322336cca817d8bdcb2e00a2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,bcae276234b37a66322336cca817d8bdcb2e00a2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,ff51e99b6ff8b439d5cf5143526a9a3050e286d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.base,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.noop,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.newRecord,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,e350d74b172bb9505916c8b59556ceb565afd646)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,e350d74b172bb9505916c8b59556ceb565afd646)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,e350d74b172bb9505916c8b59556ceb565afd646)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,e350d74b172bb9505916c8b59556ceb565afd646)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,13d638fd43e497c6fe7ff3bf47d0abaf7eceab39)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,b44c9fd04f553ee0081af08b2653099fe3d2fe74)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,b44c9fd04f553ee0081af08b2653099fe3d2fe74)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,6787d17d547c19285254c3a96ea0ef8c78b1d25f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,6787d17d547c19285254c3a96ea0ef8c78b1d25f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,3ceb6ced3ea937acad8c817dadba70f5d1e16712)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,3ceb6ced3ea937acad8c817dadba70f5d1e16712)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,3ceb6ced3ea937acad8c817dadba70f5d1e16712)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,3ceb6ced3ea937acad8c817dadba70f5d1e16712)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.base,2c5c09358719112b25031e1ffa94de519a98bd8e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,2c5c09358719112b25031e1ffa94de519a98bd8e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,2c5c09358719112b25031e1ffa94de519a98bd8e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.noop,2c5c09358719112b25031e1ffa94de519a98bd8e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.newRecord,2c5c09358719112b25031e1ffa94de519a98bd8e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,2c5c09358719112b25031e1ffa94de519a98bd8e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,2c5c09358719112b25031e1ffa94de519a98bd8e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,edb116677dcae4ef9554c98f8556738bfc411706)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,edb116677dcae4ef9554c98f8556738bfc411706)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,9586be7d4e341502910572329d758ba2673d5afc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,365eb0d76e7b73e70e09fcc798100dcc106304ff)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,ae4b5d6764aa3e2fdaee19a45b65e5910ac9f554)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,03ce403972b6d744632918490f6a5f7110d61a94)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,03ce403972b6d744632918490f6a5f7110d61a94)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,03ce403972b6d744632918490f6a5f7110d61a94)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,03ce403972b6d744632918490f6a5f7110d61a94)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,16620f0bf949fb393ee1282c7cbb2c86f0edf6a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,16620f0bf949fb393ee1282c7cbb2c86f0edf6a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,cb9e916616585e4bbcf2dbb39e3ec0902b72cfca)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.base,ac0d9ede8abc212eab61eed5ce2110d4d61fd3e7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,ac0d9ede8abc212eab61eed5ce2110d4d61fd3e7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,ac0d9ede8abc212eab61eed5ce2110d4d61fd3e7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.noop,ac0d9ede8abc212eab61eed5ce2110d4d61fd3e7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.newRecord,ac0d9ede8abc212eab61eed5ce2110d4d61fd3e7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,ac0d9ede8abc212eab61eed5ce2110d4d61fd3e7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,ac0d9ede8abc212eab61eed5ce2110d4d61fd3e7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,050c192dd73aa0703ef4395c208e3026d189b4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,050c192dd73aa0703ef4395c208e3026d189b4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.base,45a6f9bef163d71d1833a5053faf06ad14dd7e27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,45a6f9bef163d71d1833a5053faf06ad14dd7e27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,45a6f9bef163d71d1833a5053faf06ad14dd7e27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.noop,45a6f9bef163d71d1833a5053faf06ad14dd7e27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.newRecord,45a6f9bef163d71d1833a5053faf06ad14dd7e27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,45a6f9bef163d71d1833a5053faf06ad14dd7e27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,45a6f9bef163d71d1833a5053faf06ad14dd7e27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,0d60e602438696b90d22ab76230d9aa1460fb96d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,0d60e602438696b90d22ab76230d9aa1460fb96d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,2c4cb832590037f9ae5781639aebd827fed5c6dd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,d82307c3319a72243163829c86326976fb6d1ac8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,d82307c3319a72243163829c86326976fb6d1ac8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,d82307c3319a72243163829c86326976fb6d1ac8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,d82307c3319a72243163829c86326976fb6d1ac8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,6e9e803e736a331993e6b4391f71f6cd5bbd55a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,6e9e803e736a331993e6b4391f71f6cd5bbd55a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,a8bb0079a4d1be3c70320fe98f55a1cc84b9e153)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,f974f9f4abae0cba0387abeb4d179039dcbb1f91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,f974f9f4abae0cba0387abeb4d179039dcbb1f91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,f974f9f4abae0cba0387abeb4d179039dcbb1f91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
