"(Benchmark_method, commit)",Move Class,Add Parameter,Change Variable Type,Add Method Annotation,Change Return Type,Change Attribute Type,Change Parameter Type,Extract Method,Extract Variable,Move Source Folder,Modify Method Annotation,Extract And Move Method,Inline Method,Move Attribute,Remove Parameter,Inline Variable,Extract Class,Add Attribute Annotation,Parameterize Variable,Remove Method Annotation,Pull Up Method,Move And Inline Method,Add Class Annotation,Move Method,Push Down Method,Replace Variable With Attribute,Modify Class Annotation,Extract Superclass,Pull Up Attribute,Change Package,Remove Class Annotation,Remove Attribute Annotation,Merge Parameter,Extract Interface,Extract Subclass,Push Down Attribute,Extract Attribute,Merge Variable,Split Attribute,Merge Attribute,Reorder Parameter,Remove Parameter Annotation,sum,delta
"(io.debezium.performance.core.FilterSmtPerf.groovy,f974f9f4abae0cba0387abeb4d179039dcbb1f91)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.base,1fdad23087055de69b83e9961cce9a504b4d11fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,1fdad23087055de69b83e9961cce9a504b4d11fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,1fdad23087055de69b83e9961cce9a504b4d11fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.noop,1fdad23087055de69b83e9961cce9a504b4d11fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.newRecord,1fdad23087055de69b83e9961cce9a504b4d11fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,1fdad23087055de69b83e9961cce9a504b4d11fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,1fdad23087055de69b83e9961cce9a504b4d11fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,2f92553d8f67d8dbf947fa0277a14c5dd5df05d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,5d01f409f073c5b76f47119c507e6bc26cf1c5c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,4ed8b4636c6e47edf1fa2427392ac3d993f1009b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,bff7eea7347e40a59f484cdd68e2b055f6c5954a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,bff7eea7347e40a59f484cdd68e2b055f6c5954a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,c5ecff4be623abc7393cc67b706c94dce5db002f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,c5ecff4be623abc7393cc67b706c94dce5db002f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,90d2e24788956fa6f93c6d64f5e05dfb9102ae03)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,90d2e24788956fa6f93c6d64f5e05dfb9102ae03)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,90d2e24788956fa6f93c6d64f5e05dfb9102ae03)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,90d2e24788956fa6f93c6d64f5e05dfb9102ae03)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.base,971635626d2007b3708f45542b9b609c121e2c32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,971635626d2007b3708f45542b9b609c121e2c32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,971635626d2007b3708f45542b9b609c121e2c32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.noop,971635626d2007b3708f45542b9b609c121e2c32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.newRecord,971635626d2007b3708f45542b9b609c121e2c32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,971635626d2007b3708f45542b9b609c121e2c32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,971635626d2007b3708f45542b9b609c121e2c32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,de20969fc369b43a474cc7aa938982029737eab8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,de20969fc369b43a474cc7aa938982029737eab8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,08ef1418d94f58cf932e8460cd8125ed0333fc6d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,8e21139ca3ee140a07b99cbfb87b6a92b1253308)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,8e21139ca3ee140a07b99cbfb87b6a92b1253308)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,8a22b6666fbb9c98ec2d0bf4f95a3eb78720105f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,8a22b6666fbb9c98ec2d0bf4f95a3eb78720105f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,80855ae2c162f26b344ab266c9526656e797ea64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,80855ae2c162f26b344ab266c9526656e797ea64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,efa22016a85fbab8b713976d064c059c1ca408a5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,e2c74111ad7f958d6d0d64f89155f70ce8917c61)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,bbfbdf6fab1f77357b0ee2d10c9416aa21cd546a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,bbfbdf6fab1f77357b0ee2d10c9416aa21cd546a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.base,c74579c1df7a62ee0ea6796c01b0e692beb91f4c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,c74579c1df7a62ee0ea6796c01b0e692beb91f4c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,c74579c1df7a62ee0ea6796c01b0e692beb91f4c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.noop,c74579c1df7a62ee0ea6796c01b0e692beb91f4c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.newRecord,c74579c1df7a62ee0ea6796c01b0e692beb91f4c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,c74579c1df7a62ee0ea6796c01b0e692beb91f4c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,c74579c1df7a62ee0ea6796c01b0e692beb91f4c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,61ff10a771c562de2471e0f1a2b5866842ac24ab)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,61ff10a771c562de2471e0f1a2b5866842ac24ab)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,46de58ae757e4e3d851e62560d5e219170f75b8c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,9b90f10331f92c61196f58d302f37ab02754bb08)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,9b90f10331f92c61196f58d302f37ab02754bb08)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,cf4db8c1a169ce1fb1b88e17f294f05916465b27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,135e66dd0d48b84f5cf248fb073a5c0235c22c3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,c4f975bd0a04410ac8f4d7112f31ba3c95553885)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.debezium.performance.core.FilterSmtPerf.java,c4f975bd0a04410ac8f4d7112f31ba3c95553885)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,c4f975bd0a04410ac8f4d7112f31ba3c95553885)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,c4f975bd0a04410ac8f4d7112f31ba3c95553885)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,c74040058754709ce0dab36abad75260a9da122b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,c74040058754709ce0dab36abad75260a9da122b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,e7fd7acab8507831ff06bbf048068a917fe507a0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,2a486ecfffc8cf5e96e1287ab82a0447f4a1ec23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,2a486ecfffc8cf5e96e1287ab82a0447f4a1ec23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.base,825ffe38480360f3743ebf727cbf5b6337376072)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,825ffe38480360f3743ebf727cbf5b6337376072)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,825ffe38480360f3743ebf727cbf5b6337376072)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.noop,825ffe38480360f3743ebf727cbf5b6337376072)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.newRecord,825ffe38480360f3743ebf727cbf5b6337376072)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,825ffe38480360f3743ebf727cbf5b6337376072)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,825ffe38480360f3743ebf727cbf5b6337376072)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,46111505ed0cd318a2f353365a68d2c62c029099)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,46111505ed0cd318a2f353365a68d2c62c029099)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,f89fc0bb147c36327a3b4a2aa9a98a56c044f823)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,f89fc0bb147c36327a3b4a2aa9a98a56c044f823)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,38df24a76bf5184228c2f79ec0c86ef1b280426b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.base,c54e377dd23234c53125d8ab668dab9cde247276)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,c54e377dd23234c53125d8ab668dab9cde247276)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,c54e377dd23234c53125d8ab668dab9cde247276)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.noop,c54e377dd23234c53125d8ab668dab9cde247276)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.newRecord,c54e377dd23234c53125d8ab668dab9cde247276)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,c54e377dd23234c53125d8ab668dab9cde247276)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,c54e377dd23234c53125d8ab668dab9cde247276)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,3a4788cc333e397c573e5228e573ed6e98670faa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,4e27c90028e2c5e0896bc82e8a4422fab711269d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
