"(Benchmark_method, commit)",Add Parameter,Extract Variable,Extract Class,Move Method,Remove Parameter,Remove Method Annotation,Extract And Move Method,Extract Superclass,Move Class,Add Method Annotation,Change Attribute Type,Change Parameter Type,Change Variable Type,Change Return Type,Replace Variable With Attribute,Merge Parameter,Pull Up Attribute,Pull Up Method,Add Class Annotation,Remove Class Annotation,Move Source Folder,Move Attribute,Inline Variable,Extract Method,Add Attribute Annotation,Modify Class Annotation,Move And Inline Method,Push Down Method,sum,delta
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,3677dfee970e828ecda7fe15b27a38920bd41524)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,fe9a591d67ea138e8bce2de69ca955ca042f7220)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,32875fffd86a6356fde01ee4df57fac8083eec0b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
