"(Benchmark_method, commit)",Extract Variable,Change Attribute Type,Change Variable Type,Move Class,Change Package,Add Method Annotation,Change Parameter Type,Change Return Type,Extract Superclass,Extract Subclass,Extract Class,Pull Up Method,Push Down Method,Push Down Attribute,Move Method,Move Attribute,Move Source Folder,Inline Variable,Remove Method Annotation,Extract Method,Remove Parameter,Modify Method Annotation,Extract Interface,Remove Class Annotation,Add Parameter,Extract And Move Method,Pull Up Attribute,Parameterize Variable,Inline Method,Extract Attribute,Remove Attribute Annotation,Add Class Annotation,Move And Inline Method,Merge Parameter,Modify Parameter Annotation,Merge Variable,Merge Attribute,Replace Variable With Attribute,Add Attribute Annotation,Modify Attribute Annotation,Modify Class Annotation,Add Parameter Annotation,Split Parameter,Reorder Parameter,Split Attribute,Split Variable,Replace Attribute,sum,delta
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,924040fe3b7f86d232eb94488a7356d82d4f2115)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,b529f37fa4051adedbe8fabc1b6bdfd4bea7c6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,dbf424db5f0bb3c47d6a34a4604147fb2a6a989f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,c1ba8c3e8d6cf8f28470cbdd813a5913fa49a499)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,c5fc83a5cf8e80c448f756b597a027145df08dd2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,2d57e52794d93bde03ed4669367b708103146d0e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,36fee47309d04ceca2a6fd62b7f7a04d2feab443)",0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,e63cecbc89588f80546e56e2a962c83dcd3f082c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,e1c4158f714172eadda4a306b15bd6fe042634be)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,3f2294c86704aa6013e4160603dc9da9e3ac24c9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,27387f06f643dc9a4080913f7468dfac9742ce6c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,4a3c5a6a1fdbc70ebed8080ccf66446ce4d38196)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,c83c152277670b87460446d1962268799ad223ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,0074f133a8e691bd1c1909737ce6c82c0ebb8000)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,1086a61fd92a49db64034f2c7ac279e27c20f96f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,2a4a0713a424f929355b32b6cf0c34dabaaad873)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,74e47c0d76708d9a533f6412559198074b294457)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,e3fa6562a76344bab1a02ad062d0ccbe732d3ece)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,a2380cc5c9ec04aa243d525da5b46a25b4f3e988)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,80dc207a6c5a40b77adfa32f9920bc127650e3f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,9f0e41ac04e7fc0a21859fdba5e273e16312872e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,17005643ed0ba4b61d76d6d2cc8b465b46376333)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,cab06fee9accf437730b4edd6bf5e1cd0891f127)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,d8c034d8af82ac71468b0fa60237e0f7946ce59b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,0be2b5488657a85a61620e90681b02b3e99478c0)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,6340324dbbfd0dd9eacc01b41c6e85aeef52610f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,c4112010b0e3d427786de4cf3b466a658c3c35dc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,33e74471d98150665e809cff6c4a0a47536cad34)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,2fd3ac38297a0812c7835e129597c6c69a69b0fc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,dd7e141b9c5b845fcdf41f7638c861e69aa14006)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,798ff6a76025badd94761a079ce422ba18701b58)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,d4096b24d2cab0605275a800870216a4c627de80)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,68529adf00ad2fb22dd1b9d4a95a3f8a15c72a66)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,4ccf0c274923b8aa5a61260b4e2f7ddcc652f941)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,d66809dd5d5b7f9d075bb4a2d606f8756f6991c4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,cfc567b68e501a802bd1e60f4647679f38c97f1a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,b1988d11165011ce6acdb5e8e9265820174be966)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,701e48823aaff61f76e0b6c982eaf9f76c4b2241)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,a5c3e4746bde220a10b172911402293f8a387e88)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,0ad536175a8ad36628040cbec63431b7d608a8bf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,1329b030610ab34c7e9cd8db3a1e32623140dd0c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,0efe87b4166072eaa9af4076e53471c9d6f85b2e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,c503de20dca1930cd56ed812be540bdee7db68cd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,951d01aed0e11ac31386611dc939e3381a2b8e83)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,0026db8b8d19a201a5d79ac87d515421052816bc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,2ef7af4eb707b543f8a26b0cb77bcc709816cf22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,d695f6fdf8d8ccc2dca682e2628c65b5434c6b86)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,5d21b7d74cbf48fc9186ab090712dfc1ffd5b5ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,0136d74f363fa25a9f5e34102f964d86db6f528b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,22f96ce8356f9f4b79bd8f431da98cb8d6e4737d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
