"(Benchmark_method, commit)",Extract Method,Change Parameter Type,Change Return Type,Extract Variable,Extract And Move Method,Add Parameter,Add Method Annotation,Change Attribute Type,Remove Method Annotation,Extract Superclass,Change Variable Type,Pull Up Method,Extract Class,Move Attribute,Pull Up Attribute,Modify Attribute Annotation,Inline Method,Inline Variable,Move Source Folder,Remove Attribute Annotation,Move Class,Replace Variable With Attribute,Move Method,Extract Interface,Remove Parameter,Push Down Attribute,Push Down Method,Add Class Annotation,Add Attribute Annotation,Parameterize Variable,Reorder Parameter,Replace Attribute,Move And Inline Method,Extract Subclass,Extract Attribute,Change Package,sum,delta
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,12801fb1f530b5447b022894d1bda5e87a0cbef1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,12801fb1f530b5447b022894d1bda5e87a0cbef1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,daa875ae1e1f42cf9ea678be082f324d102cc12c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,9d6924197e1af852e0cf44a3b2843c17ddcb88a3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
