"(Benchmark_method, commit)",Remove Parameter,Inline Method,Add Parameter,Change Return Type,Change Variable Type,Change Attribute Type,Add Class Annotation,Move Class,Add Attribute Annotation,Inline Variable,Change Parameter Type,Move Attribute,Remove Class Annotation,Extract Class,Move Method,Extract Variable,Extract Method,Extract And Move Method,Add Method Annotation,Pull Up Attribute,Add Parameter Annotation,Remove Method Annotation,Merge Variable,Merge Parameter,Remove Attribute Annotation,Merge Attribute,Move And Inline Method,Parameterize Variable,Extract Attribute,Modify Class Annotation,Extract Subclass,Push Down Method,Push Down Attribute,Change Package,Modify Method Annotation,Split Attribute,Replace Variable With Attribute,Extract Superclass,Split Parameter,Move Source Folder,Pull Up Method,Modify Attribute Annotation,Reorder Parameter,Remove Parameter Annotation,Modify Parameter Annotation,Extract Interface,sum,delta
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,552e4ae7813511ed3eb8ee7d9aa9da714e7d0956)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,552e4ae7813511ed3eb8ee7d9aa9da714e7d0956)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,5495f5c244e8035ad1c2d97a4d4d817aac1a862e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,5495f5c244e8035ad1c2d97a4d4d817aac1a862e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,01cb7714ff11d6f361dd5fd68b65e12029413b63)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,01cb7714ff11d6f361dd5fd68b65e12029413b63)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,35a19de97ecaa2574b516ef51e2e820f5a83b8ed)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,35a19de97ecaa2574b516ef51e2e820f5a83b8ed)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,e73121df031dfd57eac1fe3a75f295a0e7ba8130)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,e73121df031dfd57eac1fe3a75f295a0e7ba8130)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,76990f35350d541ba336dbf31c83228300b9a38f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,76990f35350d541ba336dbf31c83228300b9a38f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,cc1119740c85c5db073993747c3eed1f26e539ca)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,cc1119740c85c5db073993747c3eed1f26e539ca)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,fa446b78194a5933217d2a5d04d10589cd96afb9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,fa446b78194a5933217d2a5d04d10589cd96afb9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,7ceb429723dd33607f2bdbd1e8dbd097ea9316a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,7ceb429723dd33607f2bdbd1e8dbd097ea9316a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,6619460e88a6f2008b39c449b0aaea7ba173055f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,6619460e88a6f2008b39c449b0aaea7ba173055f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,5ec4b508fd1d5758620fffd51e946e4c023d7d9b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,5ec4b508fd1d5758620fffd51e946e4c023d7d9b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,ea2f4f1c1429074e6022ef9c8923737eeadfa119)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,ea2f4f1c1429074e6022ef9c8923737eeadfa119)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,53fee4b5d25464d1e31fd2fecaf0e850b96c7cbb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,53fee4b5d25464d1e31fd2fecaf0e850b96c7cbb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
